App Name,App Id,App Type,Permissions,Users,Type,Link,Total Users,Rating,Users Rated,Overview,Description,Developer,Mark Trusted?
Zocdoc,1001492795798-tanp8tjt0fkglvrd2e6ekp1qoukv2v0r.apps.googleusercontent.com,Web Application,Others,3,Meta,,,,,,,,No
App in the Air,1003804154726-vdqt1baa7tiraknveg82uhg3funvs58i.apps.googleusercontent.com,Web Application,"Gmail, Calendar",1,,,,,,,,,Yes
GipsyTime,1005107182837-r3lef4cn76cs46o0ib36s7486vos193g.apps.googleusercontent.com,Web Application,Calendar,1,,,,,,,,,Yes
PicMonkey,1005542825533.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
The New York Times,1005640118348-amh5tgkq641oru4fbhr3psm3gt2tcc94.apps.googleusercontent.com,Web Application,Others,20,Meta,,,,,,,,No
The New York Times,1005640118348-vsu060dtgu5k028ce5qr0j9ogn9jmkj1.apps.googleusercontent.com,Android,Others,1,Meta,,,,,,,,No
gitlab scrape test,100607553994-kdb8gpoob99u5vap9o0uahtbgj8jr553.apps.googleusercontent.com,Web Application,Apps Script Runtime,1,Apps Script,,,,,,,,No
NewSupplierForm,1006508925734-b2b33eft86dhblpeuuhqd2lvs9g6908o.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
Code Blocks,100740430168-ccef2jver66p0elj5oq56gtkr0j91ket.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",4,Apps Script,https://gsuite.google.com/u/2/marketplace/app/app/100740430168,"1,084,111",4,993,Syntax highlighting for Google Docs,"Code Blocks makes it easy to put your code into Google Docs. Simply select some text, click the ""Format"" button, and it will be formatted with the color theme of your choice.

Features:
• One-click syntax highlighting
• Automatic language detection (or choose it yourself)
• Lots of color themes
• Format code inline or as blocks (1x1 tables)
• Preview changes before updating your document
• More to come...

Enjoy!

NOTE: Code Blocks does not provide real-time syntax highlighting or code formatting. To get these features, you will need to use a separate editor.",Alex Forsythe,Yes
PnL,1010545529669-jset4ju82lvaqm16lk4h7i0tc0evu5pb.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
OpenTable,1011230515163-arsl01gv134b0sjidu62bkp3hub3nuj3.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Text Editor for Google Driver,1014087004651-oudd5akb9l92rrvr3qe2krgvc1ocmi52.apps.googleusercontent.com,Web Application,Drive,2,,https://gsuite.google.com/u/2/marketplace/app/app/1014087004651,"15,786",3,328,"A powerful and lightweight Text editor, extractor for Google Drive. It allow you to edit the Text file, Extract text from file.","A powerful and lightweight Text editor, extractor for Google Drive.
This app allows you to edit the Text file, Extract plain text and mail attachments from a binary(msg, winmail.dat, pdf) file.

You can choose a text file to edit from Google Drive. Provides connect with Google Drive.
You can easily view or edit your text file, you can also use it as e-book reader to open txt novel. html, javascript, css... syntax highlighting, Vim editor mode support.

*Extract text from the binary file. Google Drive and Local Computer. Document to Text.
Supported formats:
pdf,doc,dot,docx,docm,dotx,dotm
xls,xlw,xla,xlt,xlsx,xlsm,xltx,xltm,xlsb
ppt,ppa,ppsx,ppsm,pps,pot,pptx,pptm
potx,potm,odt,ods,odp,fodt,ott,fodp,otp
fods,ots,rtf,ps(Postscript)
epub(eBook),mobi(eBook),chm(HTML Help),hlp,fb2,tex,latex,mht,mhtml,hwp,Apple iWorks(pages,key)
msg(outlook, attachments),winmail.dat(TNEF format, attachments),pdf(attachments)
ics,ical,ifb,icalendar(iCalendar format to tsv) webarchive(extractor)
lnk(Windows lnk) DS_Store,DSStore(.DS_Store format)
dbf(dBase/dbf to csv, dbf to txt) fp3,fp5(Filemaker DB to txt) fdb(Firebird DB to csv, version 2.5 or lower)
wk4,123(Lotus wk4/123 to csv) vcf(VCard to csv)
smi,vtt,sbv,sub,stl(Subtitles to srt format, sbv: YouTube Subtitle, sub: SubViewer, stl: DVD Studio Pro)
srt(srt subtitle to web VTT format)
htm,html (optional)",texteditor.nsspot.net,Yes
Gmail_Autofilters_OLD,1014146847772-5obqlj3m6ppk6du7dujd3auep03bjgf3.apps.googleusercontent.com,Web Application,Gmail,1,,,,,,,,,Yes
Adobe,1014431251553-1th00sgm1evm88p73r3el860kokvnlbe.apps.googleusercontent.com,Web Application,Others,5,Meta,,,,,,,,No
Cloud NEXT 2019,1021136005570-a0sms6gs01fiucesevie7u57rr8fdg36.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
TRC Core Enterprise,1021947821914-0sv3o023b97b8ukhtdr5jm9mstml0d4e.apps.googleusercontent.com,Web Application,Admin,1,Internal,,,,,,,,No
TRC Core Enterprise,1021947821914-14524so1ghr1gs63ng70kafqnkpta6m1.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-3sspc0rhgp09nbha4700r7666tnpukgj.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-44h2drpermkjg418q8fov2d84au19kgd.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-4d19d2cgq7r9v3qv0afdnu4jhcu571c7.apps.googleusercontent.com,Web Application,Drive,3,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-at9pqqinifrk1bv4ugm1qdtjk3n39krs.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-ghfjtaoqrc3tserv7par7b14iacojh7m.apps.googleusercontent.com,Web Application,Gmail,4,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-hddf0mdgm5g4b2pbbt58akt30n4s7kk1.apps.googleusercontent.com,Web Application,Gmail,3,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-iblfpn86gkef55rovh2ks8vem0k4n93u.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-iojaja98htv8s6vt5nm50mavi7eepqah.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-jk5drv6pmurvjac98kmjhmb9fa5apbgf.apps.googleusercontent.com,Web Application,"Calendar, Admin, Vault",2,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-kvode38ddu1eqquuupcmd4di17b9vqlg.apps.googleusercontent.com,Web Application,"Gmail, Drive",1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-m6h4p625u3eqoc2m5ppn51j3derkgtec.apps.googleusercontent.com,Web Application,"Gmail, Drive",1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-nenjsc3uhoun4620ogjdgjic3g5cnrhm.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-qjpbecqg7ehnq9pho88oqres24bporc6.apps.googleusercontent.com,Web Application,Gmail,1,Internal,,,,,,,,Yes
TRC Core Enterprise,1021947821914-vg0i93p4kbglkp4nioo1js5v9q54a1t2.apps.googleusercontent.com,Web Application,Gmail,2,Internal,,,,,,,,Yes
Qwiklabs,1023251155897-tb54g624q9e77gtsrnemgv4c2ihekurv.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Kayako Login,102829875229-5e8asgjqcui9pktgu5khmpb2bq6q310s.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
New Scientist,1030727279051-2ut2l4krgju3uo6s7bhmgiptvejl1pjo.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Lumin PDF,1031094922298-hcmpll8999ct57grncagnql87pnihmmi.apps.googleusercontent.com,Web Application,Drive,27,,https://gsuite.google.com/u/2/marketplace/app/app/1031094922298,"970,759",3,9289,"Open, edit and share PDF and Office files in your browser. Simple, fast, and easy to use Highlight, edit and sign PDF files with this modern PDF tool! Lumin PDF allows you to edit and share PDF files in real-time. With Lumin PDF you can: - Highlight and underline text - Erase blocks of text - Add digital signatures - Rotate and remove individual pages - Draw lines and shapes - Add comments* - Much more","Highlight, edit and sign PDF files from your browser! Lumin PDF allows you to share and edit PDF files in real-time.

With Lumin PDF you can:
- Highlight and underline text
- Erase blocks of text
- Add digital signatures
- Rotate and remove individual pages
- Draw lines and shapes
- Add comments*
- Much more

Most features are free. A Lumin Premium subscription is required for the features indicated with (*).

Lumin automatically works with Gmail and Google Drive, allowing you to view your files or email attachments without downloading them. Files are converted from the original format to PDF for quick and easy viewing.

Lumin integrates with the following cloud storage providers:
- Google Drive
- Dropbox
- Onedrive
- Box

After installing Lumin you will be able to open documents in Google Drive. Right click any file and select 'open with' > 'Lumin PDF'",Nitrolabs Limited,Yes
JetBrains Single Sign-on (Hub),1032026974949-jddanq3a9hsqelr54dq74l0t1lrksfav.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Asana,1032199425885-oq9scukspijc682n7k2erv386nc58que.apps.googleusercontent.com,Web Application,Others,20,Meta,https://gsuite.google.com/u/2/marketplace/app/app/1032199425885,"3,174,496",4,108,Asana is the easiest way for teams to track their work and get results.,"Asana is the easiest way for teams to plan, manage, and track their work—so you know who’s doing what by when. It’s free and simple to get started, and powerful enough to run your entire business. Download now and see how Asana empowers teams to get great results. Learn more: www.asana.com

Plan and track your work with:
-Easy to set up projects and tasks
-Dashboards to track progress and goals
-List, board, and calendar views

The Asana for Gmail Add-On is now available! Turn tasks into emails, assign responsibility, set due dates, and connect emails to projects all without leaving your Gmail inbox.  Search Asana for Gmail in the marketplace to install.

Asana is recommended for G Suite and integrates across most G Suite tools. You'll be able to:
-Attach documents from Google Drive directly to your Asana tasks and projects
-Make conversations actionable by turning emails into tasks from within your Gmail inbox
-Ensure secure sign-on with your teams existing Google credentials through Single Sign On authentication
-Output Asana dashboard tracking into reports within Google Sheets
-Turn Google Forms information into trackable tasks in Asana",app.asana.com,No
TRC Enterprise Production Engineering,1032253577256-ji7utcu1m5jocc5kft1s4e2r1216ln06.apps.googleusercontent.com,Web Application,Calendar,2,,,,,,,,,Yes
Indiatoday,1034467138740-upqhri70dlfdloa7een22r96d84b9v24.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Recorded Macros (Untitled spreadsheet),1034831247363-3o4rjnj0pc3s5p6h851mn62htp69dhn3.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Luxury Escapes,1034926809216-n6rpg0vivi0aav775gs8cdndh17jkist.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Noisli,1035060964841-o6cg1vortrufggv7a777otmkrn8eqjs5.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Times Of India,103703403489-b4t4lt8mr05brqpcdrmsu0di54cmjv4f.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Untitled project,1052196649182-2v50sbfgdslb357pn65trrmh78q48r4p.apps.googleusercontent.com,Web Application,Gmail,1,,,,,,,,,Yes
Typing.io,1053160013860-87e4bvgv78elvs19u5eup3tupo1cmd4a.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
time,1059943037426-sfhrcee2917ra99moq8batbhuu4pmlvs.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Testing,1064305533524-1ee9e5q2o6p4cevvnbouh0ick8ufvmui.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
Untitled project,1064756101458-ef5ev2hpproqse91lmemc2kkjfig4f12.apps.googleusercontent.com,Web Application,Calendar,1,,,,,,,,,Yes
JIRA,1065897371335-h27ipppsl765bkjn8eifecn2hcjqpkqi.apps.googleusercontent.com,Android,Others,2,Meta,,,,,,,,No
BrowserStack,1066772918720-qoh6r25jl6mcn28aqoirn3gp7s1gucmk.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Wayfair,10668954132-ii0pv9vd2t4i2j3egv9bj249hf187v5j.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Udacity,1069728276824-7sem2lgr69vs4liabjj8corbps661iu4.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Promevo Sales Portal,1070256336893-te9lueoq74ugak3ig95tdvl37umqetml.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Tripadvisor,1070328450902.apps.googleusercontent.com,Web Application,Others,12,Meta,,,,,,,,No
Neighbor,1070544743919-ff6d0kl51otlh9u3qghrgmhaidh9v8q4.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
eBay,1077078376996-tiuoaddhjh4ch2h4dnokcu4uq3576n9g.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Realtor.com,1077613200872-2643uknuh1i8rfjgjd0jrkmm3frqqdo9.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
Google Drive for Confluence & Jira,1080080380801-1s13bahdvlh579fstpjm8o168v1e4c3m.apps.googleusercontent.com,Web Application,Drive,25,,,,,,,,,Yes
Scott's Cheap Flights,108147266412-33njno1el2aaf0raqc4dhi2l196vjgt4.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Fetch_FinDataSQL,1082484789197-glso4ncgh5seeaoj4phs6h6sr99brt1o.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
Tableau,108315368982-fhk59oh0vmpj8vif1smea64flvfg4tv0.apps.googleusercontent.com,Web Application,Drive,7,,,,,,,,,Yes
Tableau,108315368982-mfe7b31cbom80toum943mgg250p8hsl4.apps.googleusercontent.com,Web Application,Drive,2,,,,,,,,,Yes
WordPress,108380595987-j91sm1alavcdgd81i2655kp8q1lbtvrc.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Hipmunk,108670380482-srf0he2fu64lrdjlbqeoqguha4qr268v.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
PnL,1088339617851-a948b1uc6bid2bc7lr55ehgmol9qbp2m.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Exif Meta Viewer for Drive,111863700124-074s5qoqq5p2mc2h50abftn5ktc7m1ln.apps.googleusercontent.com,Web Application,Drive,2,,https://gsuite.google.com/u/2/marketplace/app/app/111863700124,"20,679",4,455,"Exif Viewer is a tool that shows the Exif, Meta info of your pictures, docs. Extracts and displays the Exif, IPTC metadata.","Exif Viewer is a tool that shows the Exif, File Type Analysis, meta, file information of your pictures, ebooks, documents, archive, images, audio, and other formats.

Extracts and displays the Exif (Exchangeable Image File), IPTC-NAA/IIM (International Press Telecommunications Council / Newspaper Association of America), and IPTC Core (Adobe XMP, Extensible Metadata Platform) metadata, as stored by digital still cameras.
This app also can identify file types from the binary signatures.

Provides connect with Google Drive. You can open files from Google Drive, your computer, or from URL.

Supported formats:
png, jpg, jpeg, cr2, crw, dng, nef, raw, xmp, gif, tif, bmp...
doc, docx, ppt, pptx, xls, xlsx, epub, azw, pdf, odt, mobi, zip, rar, gz, swf, torrent.. 
pictures, ebooks, documents, archive, images, audio, and more.",exifviewer.herokuapp.com,Yes
Calendars 5,115462536866-ulmt0i7ik48sjee47lju68saffpg0kkg.apps.googleusercontent.com,iOS,Calendar,1,,,,,,,,,Yes
Events Calendar,115749518092-rufq0461dc4c1rjar0mb4eh84emoahgl.apps.googleusercontent.com,Web Application,Calendar,1,,,,,,,,,Yes
DocHub - PDF Sign & Edit,1179802238-202ueh12c57itr8t99rlpp8tem3s5bk8.apps.googleusercontent.com,Web Application,Drive,13,,https://gsuite.google.com/u/2/marketplace/app/app/1179802238,"4,494,044",4,10862,"Sign PDF or document files, create forms and edit PDFs online for free! Apply legally binding eSignatures, send (or receive) faxes, create reusable templates and more.","Sign, edit and share PDF and Word documents online:  DocHub - the way the world manages documents.

Editor Tools:
* Insert Text
* Draw (lossless, vector based)
* Highlight
* Comment
* Erase
* Sign
* Insert Image
* Stamp
* Undo/Redo

Page Management:
* Merge documents
* Reorder pages
* Append pages
* Rotate pages
* Delete pages

PDF Features:
* Retina display optimized
* Lossless editing (retains original document quality after signing or editing)
* Fill forms

Document Templates:
* Upload a template once then...  
   ...easily fill it out a unique copy of it as many times as you need.
   ...send copies of it to multiple people for signing or filling.

Document Sharing:
* Email documents
* Collaborate on a document with individuals or organizations
* Choose to make your document 'public' or 'private'
* Share 'public' documents on Facebook, Twitter or anywhere

Signing:
* Easily sign and save any document
* Create and import signature from phone
* Send documents to others to be signed

Security:
* OAuth 2.0 authentication ensures only you can access your account
* Data is transferred using state of the art 128 to 256 bit EV SSL Encryption
* Saved documents are stored and backed up using Advanced Encryption Standard (AES) 256-bit symmetric keys

Compatibility:
* Works with all PDFs, Open Office and Microsoft Office Documents:  (PDF, DOC, PPT, XLS, TXT, DOCX, PPTX and many more...)
* Export documents as either PDF or DOC

Open/Import Documents Directly From:
* Your computer
* Gmail
* Google Drive
* Dropbox
* Any webpage URL",Macroplant LLC,Yes
DocHub - PDF Sign & Edit,1179802238-balmr1e5m7sdgvoeu5lp28a5g6luvim5.apps.googleusercontent.com,Web Application,Drive,7,,https://gsuite.google.com/u/2/marketplace/app/app/1179802238,"4,494,044",4,10862,"Sign PDF or document files, create forms and edit PDFs online for free! Apply legally binding eSignatures, send (or receive) faxes, create reusable templates and more.","Sign, edit and share PDF and Word documents online:  DocHub - the way the world manages documents.

Editor Tools:
* Insert Text
* Draw (lossless, vector based)
* Highlight
* Comment
* Erase
* Sign
* Insert Image
* Stamp
* Undo/Redo

Page Management:
* Merge documents
* Reorder pages
* Append pages
* Rotate pages
* Delete pages

PDF Features:
* Retina display optimized
* Lossless editing (retains original document quality after signing or editing)
* Fill forms

Document Templates:
* Upload a template once then...  
   ...easily fill it out a unique copy of it as many times as you need.
   ...send copies of it to multiple people for signing or filling.

Document Sharing:
* Email documents
* Collaborate on a document with individuals or organizations
* Choose to make your document 'public' or 'private'
* Share 'public' documents on Facebook, Twitter or anywhere

Signing:
* Easily sign and save any document
* Create and import signature from phone
* Send documents to others to be signed

Security:
* OAuth 2.0 authentication ensures only you can access your account
* Data is transferred using state of the art 128 to 256 bit EV SSL Encryption
* Saved documents are stored and backed up using Advanced Encryption Standard (AES) 256-bit symmetric keys

Compatibility:
* Works with all PDFs, Open Office and Microsoft Office Documents:  (PDF, DOC, PPT, XLS, TXT, DOCX, PPTX and many more...)
* Export documents as either PDF or DOC

Open/Import Documents Directly From:
* Your computer
* Gmail
* Google Drive
* Dropbox
* Any webpage URL",Macroplant LLC,Yes
Google Gather,122167620338-cf846ucgscod617b2jahi6p30e4cn7im.apps.googleusercontent.com,Web Application,Others,7,Meta,,,,,,,,No
cloudHQ,125135905029.apps.googleusercontent.com,Web Application,"Gmail, Drive",3,,,,,,,,,Yes
PnL,128625660981-6b2e868pee5fnug9067al9gtmfu0i7ek.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
GrabTaxi,141255113973-1crlpnp1dfraninhjf6bul9c48gl6sa6.apps.googleusercontent.com,Android,Others,1,Meta,,,,,,,,No
GrabTaxi,141255113973-3bo26epvon2murd7ouh9l4ctipcg2m68.apps.googleusercontent.com,iOS,Others,1,Meta,,,,,,,,No
Glassdoor,141714232794-u9pltfkeb9skmomag53kf4dt3p4mgp1a.apps.googleusercontent.com,Web Application,Others,35,Meta,,,,,,,,No
GateRank Predictor,145591097846-7vt2q9hgp861hq7rh7tv0j4vmnd9rall.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
StreetEasy,147313643782-6g6eiu6pva3rofhad6e7csk4r701hbpf.apps.googleusercontent.com,Web Application,Others,3,Meta,,,,,,,,No
Logitech,154719634762-miuv2h5iatn6fqvk0sb2s6eqdkhbt8oh.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
jdbc,156540554200-909c85jcn1gmqi102s5haceu4r9mk8id.apps.googleusercontent.com,Web Application,"Drive, Apps Script Runtime",1,Apps Script,,,,,,,,Yes
SonyLIV Web,159799352625-rg89d99kqb2qdabo99lv822gsie7jgr5.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
"O'Reilly Media, Inc.",169467428391-861p65v1smjhiu0uftrp99d1l2ks2o7e.apps.googleusercontent.com,Web Application,Others,4,Meta,,,,,,,,No
doc_template_creator,171587889764-4q48e2al2n0pu5cd443rpjg9cff9jdf2.apps.googleusercontent.com,Web Application,Drive,1,,,,,,,,,Yes
Logitech - LIdS,172892496965-51375kue6ntm5at0q7cjomt5gfsnocp4.apps.googleusercontent.com,Web Application,Others,2,Meta,,,,,,,,No
flowkey,174289370194-eshqr9qiillf61qtcp9kgmj88aa18lj7.apps.googleusercontent.com,Android,Others,1,Meta,,,,,,,,No
CouponCabin,174526201421-69efgat1b312k7tmucj89f00l1b1ognm.apps.googleusercontent.com,Web Application,Others,1,Meta,,,,,,,,No
Ritual,177798635244-a09op77j7lb5ubt63j4hdonhh8cqu4ae.apps.googleusercontent.com,iOS,Others,1,Meta,,,,,,,,No
